"Name","Location"
".IsScriptAnimationComplete__8VillagerFv","1000afa0"
".DoesObjectTypeCountAsFixed__7MapCellF11OBJECT_TYPE","1000b040"
".SpellsNeedContinualPackets__5SpellFP16GInterfaceStatus","1000b220"
".DecompressPacket__5GGameFR7GPacketPv","1000b2f0"
".GetPlayerFromReal__5GGameFUl","1000be00"
".GetDataLen__8LHPacketFv","1000bee0"
".GetDataPtr__8LHPacketFv","1000bf20"
".SetNewWander__6AnimalFRC9MapCoordsll","1000bfc0"
".GetArrivePos__5AbodeFv","1000c2b0"
".ArrivesHome__8VillagerFv","1000c320"
".CheckNeedsAtHome__8VillagerFv","1000c610"
".SetPacket__5GGameF11PACKET_TYPERC9MapCoordsP7LHPointUc","1000c820"
".IsControlledByScript__16GameThingWithPosCFv","1000c970"
".__as__7LHPointFRC7LHPoint","1000c9e0"
".MessageSetScreenCursorXY__10GInterfaceFP7LHCoord","1000ca20"
".UpdateStatusInfo__10GInterfaceFRC9MapCoordsRC7LHPointRC7LHPointRC7LHPointUc","1000cb10"
".IsThingShieldedFromReactionInitiator__11SpellShieldFP16GameThingWithPosP16GameThingWithPos","1000cba0"
".GetPos__17GInterfaceCollideFv","1000ccd0"
".IsWater__8LandCellFv","1000cd10"
".GetPosOutside__5AbodeFfff","1000cd50"
".CheckDeathFromOldAge__8VillagerFv","1000d140"
".FindClosestFlockMember__5FlockFRC9MapCoordsfP6Living","1000d2a0"
".GetChillOutPos__8VillagerFR9MapCoords","1000e4e0"
".PauseForASecond__8VillagerFv","1000e650"
".Init__18GParticleContainerFRC9MapCoords13PARTICLE_TYPEfl","1000e6d0"
".DecideWhatToDo__3CowFv","1000e870"
".IsPoisoned__3PotFv","1000ea20"
".Process__8RainInfoFff","1000ea60"
".Process__8WindInfoFfff","1000ec10"
".IsSpiritFree__7GScriptFv","1000ed70"
".IsAvailableForBeliefButNotReaction__8VillagerF8REACTION","1000edf0"
".NeedsContinualPackets__16GInterfaceStatusFv","1000eea0"
".GetScriptObjectType__4RockFv","1000ef30"
".GetInterfaceFromReal__5GGameFUl","1000ef70"
".ProcessPacket__7GPacketFUc","1000f000"
".SetupMoveToWithHug__6LivingFRC9MapCoordsUc","10010f60"
".RecordCheck__23GInterfaceMessageBufferFP17GInterfaceMessage","10011030"
".Get3DAngleFromXZ__6GUtilsFRC9MapCoordsRC9MapCoords","100112f0"
".FindNearGeneralCheck__7GScriptFP16GameThingWithPos18SCRIPT_OBJECT_TYPEUl","100113f0"
".__ct__7LHCoordFll","100115a0"
".IsDoubleClicked__15GInterfaceFlagsCFv","100115d0"
".ClearDeltaPos__7LHMouseFv","10011620"
".Draw__12CitadelHeartFv","10011680"
".DrawSpellInHand__5CHandFv","100116b0"
".GetAltitudeNormal__4DoveFv","10011850"
".GetMeToMyChillOutPos__8VillagerFM8VillagerFPCvPvR9MapCoords_iR9MapCoordsfRC9MapCoords","100118e0"
".CountGateStones__14AnimatedStaticFv","10011bc0"
".GetHitObject__7GScriptFv","10011cc0"
".HasCameraArrived__7GScriptFv","10011d00"
".HasPlayed__7GScriptFv","10011e20"
".DeleteFromAtomList__14AtomCollectionFP8AtomCore","10012140"
".FindTypeOnMap__7MapCellCF11OBJECT_TYPEP6Object","100121f0"
".Eat__6AnimalFv","10012390"
".Priority__8ReactionCFPC6LivingfP8Reaction","10012420"
".GetAltitude__9MapCoordsCFv","100125d0"
".Random__7GScriptFv","10012610"
".DrawAll__7FireFlyFv","10012710"
".expf__3stdFf","10012790"
".DrawMouseOver__14EditorIconBaseFv","100127e0"
".AddDrawing__13PSysLightMapsFv","10012970"
".DeleteAll__17VillagerNameBlockFv","10012bf0"
".DisplayHowImpressed__4TownFv","10012ce0"
".DrawLeashInfo__8CreatureFv","10013330"
".DrawAll__13PhysicsObjectFv","10013370"
".ProcessWeather__13LHInetWeatherFv","10013650"
".UpdateDraw__21CreatureLessonChooserFv","10013ec0"
".UpdateHeldObject__5CHandFv","10014040"
".Draw__5GGameFv","100140b0"
".DrawAll__6GArenaFv","10014800"
".Draw__6GArenaFv","10014880"
".DebugText__16GInterfaceStatusFi","100149b0"
".Draw3D__19PSysEditorInterfaceFv","10014ce0"
".ProcessList__15DrawOffsetDecayFv","10014d20"
".UpdateChargingData__9SpellIconFv","10014e30"
".DrawBubble__10HelpSystemFv","10014e70"
".DrawCollisions__13MagicFireBallFv","10015030"
".DrawAll__11GJAnimVolFXFv","10015130"
".DrawShields__9MapShieldFv","100152b0"
".AddDrawingAll__15DisplayGesturesFv","100153b0"
".IsHelpTextBeingDrawn__10HelpSystemFv","100155d0"
".DrawCallbackStub__15HelpDudeControlFPv","10015630"
".UpdateSaySentence__8HelpDudeFv","10015710"
".Update__15HelpDudeControlFff","100158a0"
".IsTalking__8HelpDudeFv","10015d60"
".IsTalkingWithDelay__8HelpDudeFv","10015e50"
".Draw3D__8HelpTextFv","10015ef0"
".IsInInfluence__10GInterfaceCFv","10015fa0"
".Process__5IntroFv","10016250"
".ResetStateDebug__8GNetworkFv","10017240"
".DrawAll__6RewardFv","10017320"
".GetSpecularColor__12CitadelHeartFv","100173c0"
".DrawContents__10GMagicHandCFv","10017400"
".DrawPauseText__8HelpTextFv","10017510"
".SetMagnitude__15GJPSysInterfaceFf","10017fc0"
".DrawAll__14CreditTextItemFv","10018000"
".DrawClip__14CreditTextItemFv","10018080"
".CalculateAtmosWeightings__9GSoundMapFPfPfPf","10018320"
".__ami__9MapCoordsFUl","100184e0"
".__apl__9MapCoordsFUl","10018530"
".Reset__9GSoundMapFv","10018580"
".Clear__12AtmosMapInfoFv","100185e0"
".GetPercentage__9GSoundMapF10ATMOS_TYPE","10018690"
".ConvertDistance3DToGame__6GUtilsFf","10018740"
".SetNull__7LHPointFv","100187c0"
".__ct__15MusicMoodPacketFv","10018800"
".Reset__12MusicEmotionFv","10018870"
".GetReactionPower__16GameThingWithPosFv","100188b0"
".GetOrCreateSpellPointPSys__15PSysUtilityPSysFv","10018900"
".Clear__23GestureSystemPacketDataFv","100189c0"
".GetFOVHelpMessageSet__15TownDesireFlagsFv","10018a10"
".ProcessTransferedDamageEffect__12CitadelHeartFv","10018a70"
".IsWater__9MapCoordsCFv","10018e70"
".ModifyAtomCore__8SetScaleCFP8AtomCore","10018ee0"
".GetCurrentGesturePosn__11PSysManagerFP7LHPoint","10018f30"
".NetUnsafeIsMyInterfaceCasting__11PSysManagerFv","10018f90"
".IsBeingUsedInTheDanceEditor__6LivingFv","10019020"
".GlobalToLocal__8AtomCoreCFP7LHPoint","100190e0"
".GlobalToLocal__14AtomCollectionCFP7LHPoint","10019150"
".SetRefPos__12DrawOffsetLTFRC7LHPointf","100193b0"
".ConditionAlwaysTrueForAtom__19TAtomEventConditionFv","10019460"
".CheckToSeeIfObjectIsNearOnFireObject__10FireEffectFP6Object","100194b0"
".FindType__9MapCoordsCF11OBJECT_TYPEP6Object","100195c0"
".FindNearPos__7GScriptFRC9MapCoordsPFP16GameThingWithPos18SCRIPT_OBJECT_TYPEUl_i18SCRIPT_OBJECT_TYPEUlf","10019670"
".ConvertLandscapePointToMapCoord__10GLandscapeFRC7LHPointR9MapCoords","100198f0"
".IsFunctional__8VillagerFv","100199f0"
".IsAvailableForReaction__6LivingF8REACTION","10019a90"
".CallNear__7GScriptFv","10019bc0"
".GetProportionOfWorldPopulationWhoBelieveInMe__7GPlayerFv","10019dc0"
".SetMatrixOnly__8LHMatrixFRC8LHMatrix","10019ea0"
".SetPosition__12GoldenShowerFRC7LHPoint","10019f10"
".DrawAll__8BookmarkFv","10019f60"
".SetUpPositionMatrix__5CHandFR8LHMatrix","1001a230"
".GetDefaultFireCentrePos__6ObjectFP9MapCoords","1001a370"
".SetupMoveToPos__8VillagerFRC9MapCoords15VILLAGER_STATES","1001a3e0"
".Draw__7BonfireFv","1001a450"
".SetFrame__8AtomCoreFl","1001a4a0"
".CreateSprite__21ParticleSpriteCreatorFv","1001a500"
".CreateSprite__10SpriteBankFi","1001a680"
".PSysRandR3__11PSysManagerFP7LHPoint","1001a840"
".Draw__10StoragePitFv","1001a950"
".IsBuilt__11TotemStatueFv","1001a9a0"
".DrawOutOfMap__6ObjectFb","1001aa40"
".CalculateFlockingMovement__6AnimalFP6JustXZ","1001abb0"
".Fishing__8VillagerFv","1001b120"
".GetScriptObjectType__5AbodeFv","1001b380"
".GoAndChilloutOutsideHome__8VillagerFv","1001b410"
".GetInfo__15GSpeedThresholdFv","1001b5c0"
".powf__3stdFff","1001b660"
".DrawHandFX__7PHandFXFv","1001b7a0"
".IsTransition__14AnimatedStaticFv","1001b970"
".GetInfo__12GFeatureInfoFv","1001bab0"
".IsInWideScreenTransition__10HelpSystemCFv","1001bb70"
".ConvertScriptPlayerToGamePlayer__7GScriptFUl","1001bc20"
".SetAnim__6LivingFli","1001bcb0"
".CreateParticle__21ParticleSpriteCreatorFP8AtomCore","1001bdc0"
".CreateParticle3DSprite__21ParticleSpriteCreatorFP8AtomCore","1001be30"
".CalculateMoveToolTip__10GInterfaceFPQ210ControlMap16BINDABLE_ACTIONSPUlP8KEYALIGNP15HELP_EVENT_TYPE","1001c260"
".UpdateInfo__16GInterfaceStatusFRC9MapCoordsRC7LHPointRC7LHPointRC7LHPointUc","1001c660"
".SetupMobileMoveToPos__13MobileWallHugFRC9MapCoords14MOVE_TO_STATES","1001c770"
".PlaySoundEffect__7GScriptFv","1001c9f0"
".CurrentTextShouldBeDrawn__10HelpSystemFv","1001cb30"
".DrawScriptText__8HelpTextFv","1001cbf0"
".GetAtmosDistance__9GSoundMapF10ATMOS_TYPE","1001d1c0"
".Set__7LHPointFfff","1001d280"
".IsMagic__6ObjectFv","1001d2c0"
".MoveForward__51SLL<6Living,&.FlockOrder__6LivingFP6LivingP6Living>Fv","1001d380"
".GetDiscipleInfo__13GVillagerInfoFv","1001d440"
".GetWideScreenPercentage__10HelpSystemCFv","1001d4b0"
".Draw__10GInterfaceFv","1001d550"
".UpdateWideScreen__10HelpSystemFv","1001d600"
".__ct__7LHCoordFv","1001d730"
".CalculateTextRegion__10HelpSystemCFP8LHRegion","1001d760"
".Set__7LHCoordFll","1001d910"
".PreDraw__10GLandscapeFv","1001d960"
".Draw3D__10HelpSystemFv","1001d9c0"
".DrawLoop__15PSysUtilityPSysFv","1001dc10"
".DrawLoop__10PSysGlobalFv","1001df20"
".DrawSpells__5SpellFv","1001e0a0"
".ProcessOneSuperpacket__5GGameFv","1001e1e0"
".ProcessGameInputs__5GGameFv","1001e260"
".ProcessOneGameTurn__5GGameFv","1001e2f0"
".Draw3DTextStub__8HelpTextFPv","1001e450"
".DrawTrailCallbackStub__15HelpDudeControlFPv","1001e4d0"
".IsSpellSelectionSystem__10GInterfaceFv","1001e540"
".__er__7LHPointCFRC7LHPoint","1001e5e0"
".OperateInteractionCamera__5CHandFl","1001e650"
".Draw__10TownCentreFv","1001e8b0"
".IsContRecSystem__10GInterfaceFv","1001e9e0"
".Process__12WeatherThingFv","1001ea70"
".SetPacket__5GGameF11PACKET_TYPERC9MapCoordsP7LHPointP7LHPointP7LHPointUc","1001ec60"
".GetTempFirstInterfaceStatus__7GPlayerFv","1001eeb0"
".ProcessLobbyPackets__8GNetworkFv","1001ef40"
".GetTotalWondersBuiltInWholeWorld__7GPlayerFv","1001f520"
".GetTotalAbodesBuiltInWholeWorld__7GPlayerFv","1001f5a0"
".GetTotalDeathsInWholeWorld__7GPlayerFv","1001f620"
".GetTotalBirthsInWholeWorld__7GPlayerFv","1001f6a0"
".GetDefaultSpeed__13MobileWallHugFv","1001f730"
".AddDrawing__18PlayerSymbolSpriteFv","1001f9f0"
".ProcessHand__19PSysEditorInterfaceFRC9MapCoordsii","1001fab0"
".__apl__9MapCoordsFRC9MapCoords","1001fb00"
".ExitMoveToPos__6LivingFUc","1001fb70"
".FindNearGeneralCheckExcludingScriptObjects__7GScriptFP16GameThingWithPos18SCRIPT_OBJECT_TYPEUl","1001fbe0"
".ProcessInterface__10HelpSystemFP7LHCoordii","1001fcd0"
".GetBankAngle__6AnimalFff","1001fea0"
".IsDeathState__6LivingCFUl","1001fee0"
".GetCollideMask__13MobileWallHugFv","1001ff30"
".IsHungry__8VillagerFv","1001ff70"
".AddDrawing__12GoldenShowerFv","10020050"
".WomanSpecial__8VillagerFv","100201b0"
".IsPregnant__8VillagerFv","10020260"
".IsPosFieldOfView__7GScriptFv","100202e0"
".PSysRand__11PSysManagerFl","10020410"
".Rand__11PSysManagerFl","10020470"
".GetNetUnsafeBeamPulseValue__15ScriptHighlightFv","100204c0"
".PlaySoundEffect__6GAudioFP20LH_SamplePlayOptions","10020580"
".GetDistanceSq__7GCameraFRC7LHPoint","100208a0"
".MoveAnimation__7SwallowFv","10020930"
".GetActualState__5CHandFl","100209a0"
".GetState__18InterfaceHandStateFv","10020ae0"
".Arrived__10CameraModeFv","10020b60"
".GetDestination__6ZoomerFv","10020df0"
".Draw__9BigForestFv","10020e40"
".GetActionState__10GInterfaceCFv","10020e90"
".ProcessChantMusic__6GAudioFv","10020ed0"
".IsAvailableForReaction__8VillagerF8REACTION","10021260"
".GetOwnDesiresTrigger__8VillagerFv","10021390"
".GetDesireForLife__8VillagerFv","100214f0"
".GetRequiredState__5CHandFv","10021580"
".GetPlayerColour__7GPlayerCFv","10021970"
".IsObject__6ObjectCFv","100219d0"
".CheckChildGrownUp__8VillagerFv","10021a00"
".MetersX__9MapCoordsCFv","10021b90"
".MetersZ__9MapCoordsCFv","10021c00"
".SetMetersZ__9MapCoordsFf","10021c70"
".SpiralIncrement__6GUtilsFR9MapCoordsRlRlf","10021cd0"
".GetNearClipping__11LandFeatureFv","10021e20"
".AddDrawing__5CHandFv","10021f00"
".InBounds__9JustMapXZFv","100220f0"
".SetUnitDirectionVectorFromScreenPoint__6GUtilsFRC7LHCoordP7LHPoint","10022160"
".Get__41LHFastPointer<24LHLinkedNode<P8Creature>>CFv","100222e0"
".DrawLantern__12CitadelHeartFv","10022330"
".DrawDestruction__12CitadelHeartFv","10022570"
".GetMapCellSpiralSizeFromRadius__6GUtilsFf","10022930"
".ProcessOneSuperpacket__8GNetworkFv","100229f0"
".HelpSpritesAlignmentProcess__9GGuidanceFf","10022c10"
".StartWander__4DoveFv","10022ed0"
".SetCurrentAndDestinationState__4DoveFUcUc","10023110"
".SleepingAtHome__8VillagerFv","10023200"
".SendScreenCursorCollision__10GInterfaceFP7LHCoord","100232d0"
".FindClearArea__4TownFR9MapCoordsR9MapCoordsfffM6ObjectFPCvPCv_iP6Object","100233e0"
".IsRaining__8GClimateFRC7LHPoint","10023580"
".SendInvisibleDrawCollision__10GInterfaceFP6ObjectP7LHPointf","10023620"
".Draw__7FeatureFv","100238a0"
".Draw3DText__8HelpTextFv","100238f0"
".IsHitObject__7GScriptFv","10023b90"
".ObjectInfoBits__7GScriptFv","10023c60"
".InterfaceActionStateNormal__10GInterfaceFv","10023d60"
".ClipToCameraRadius__7GCameraFP7LHPoint","10023fd0"
".GetHasSpellCharging__7GPlayerFP16GInterfaceStatus","10024130"
".GetAtmosPoint__9GSoundMapF10ATMOS_TYPEP7LHPoint","10024210"
".ProcessAlignMusic__6GAudioFv","100243e0"
".SetAtomAge__8AtomCoreFf","100246f0"
".IsMyCreatureFighting__10GInterfaceFv","10024740"
".FillStandardPositionMatrix__5CHandFR8LHMatrixRC7LHPointRC7LHPoint","10024820"
".Draw__11TotemStatueFv","10024bb0"
".Process__6ForestFv","10025170"
".ProcessForests__6ForestFv","10025440"
".Process__10GInterfaceFv","100254c0"
".abs__3stdFf","10025550"
".CheckNeedUpdateInfluence__5GGameFff","100255a0"
".IsGrazingPos__6AnimalFRC9MapCoords","10025610"
".InterfaceActionProcessFirstGUIFeatures__10GInterfaceFv","10025760"
".Draw__8FishFarmFv","10025a30"
".MoveToPosIntoOutofAnimation__8VillagerFiUc","10026010"
".SetObjectPtr__13CircleHugInfoFPQ210NewCollide3ObjP13MobileWallHugb","100260e0"
".GetMapCoordFromScreenCoord__10GLandscapeFP7LHCoordP9MapCoordsPf","100262e0"
".Collide__9MapCoordsCF12COLLIDE_TYPE","100263e0"
".Collide__7MapCellFRC9MapCoords","10026450"
".Collide__9MapCoordsCFv","100264f0"
".GetMapCoords__7MapCellFv","10026570"
".GetCameraTimeInc__5GGameFv","100265f0"
".ShepherdCheckAnimalForSlaughter__8VillagerFv","10026690"
".Draw__5CHandFv","10026970"
".GetFlockMembers__5FlockFv","10026a90"
".ResetActionState__10GInterfaceFv","10026ad0"
".GetOrigin__15GJPSysInterfaceFv","10026c40"
".GetOrigin__11PSysManagerCFv","10026ca0"
".DrawParticleContainers__18GParticleContainerFv","10026ce0"
".AddDrawing__15GJPSysInterfaceFfRC7LHPoint","10026de0"
".AddDrawing__11PSysManagerFfRC7LHPoint","10026e40"
".Reset__13CircleHugInfoFP13MobileWallHug","10027050"
".__ct__15MapCellIteratorFRC15MapCellIterator","100271b0"
".GetFirstObjectFixed__7MapCellCFv","10027210"
".__ct__15MapCellIteratorFv","10027250"
".DrawLoopUpdate__15BookmarkGraphicFv","100272d0"
".Update3DAudioPositions__6GAudioFv","10027450"
".GameLoop__15PSysUtilityPSysFv","100275b0"
".IsDrawBuilding__7FeatureFv","10027c20"
